Match,Match-href,Home,Away,Score,player
"Match page >","http://opta.mc.cloud.opta.net/sportscentre/index.html?page=match&mc=RugbyProPortal&season=2018&competition=243&match=23173","Krasny Yar","Stade Francais","34 - 29","Krasny YarMinutes PlayedTacklesMissed TacklesTurnovers Won1. Sione Fukofuka 649102. Valery Tsnobiladze 602203. Azamat Bitiev 599304. Andrei Mahu 772305. Andrey Garbuzov 8011106. Victor Gresev 8011017. Viktor Arhip 8013008. Oleg Prepelitse 373219. Vasilii Dorofeev 5954010. Fangatapu Apikotoa 4010011. Vladimir Chaban 8021112. Lasha Malaguradze 80146113. Giorgi Pruidze 8081114. Igor Galinovskiy 80103315. Vasily Artemyev 8054016. Jaba Bregvadze 2011017. Grigory Tsnobiladze 1641018. Mikheil Tsiklauri 2112019. Alexander Ilin 310020. Alexander Khudyakov 4361021. Rushan Iagudin 2120022. Evgeni Kolomiytsev 000023. Kirill Golosnitskiy 30711"
"Match page >","http://opta.mc.cloud.opta.net/sportscentre/index.html?page=match&mc=RugbyProPortal&season=2018&competition=243&match=23167","Sale","Toulouse","20 - 20","SaleMinutes PlayedTacklesMissed TacklesTurnovers Won1. Ross Harrison 809102. Rob Webber 566203. Halani 'Aulika 546004. Bryn Evans 8011105. Andrei Ostrikov 7818006. Cameron Neild 8016107. Ben Curry 8017218. Jonathan Ross 406119. Francois de Klerk 8062010. James O'Connor 8052011. Josh Charnley 8074112. Mark Jennings 8043013. Sam James 8071014. Denny Solomona 8023015. Mike Haley 8031016. Marc Jones 2460017. James Flynn 000018. Will John 2620119. George Nott 220020. Laurence Pearce 40110021. David Seymour 000022. Will Cliff 000023. Arron Reed 0000"
"Match page >","http://opta.mc.cloud.opta.net/sportscentre/index.html?page=match&mc=RugbyProPortal&season=2018&competition=243&match=23175","Brive","Oyonnax","38 - 13","BriveMinutes PlayedTacklesMissed TacklesTurnovers Won1. Naama Leleimalefaga513102. Thomas Acquier512003. Damien Jourdain515004. Julien Ledevedec569015. Jan Uys8015216. Peniami Narisia6512307. Fabien Sanconnie404008. Petrus Hauman807009. Florian Cazenave80132310. Thomas Laranjeira8050011. Franck Romanet8085012. Benjamin Petre7274013. Felix Le Bourhis8091114. Benito Masilevu8001015. Gaetan Germain5810016. Mike Tadjer2950017. Julien Brugnaut2950018. Soso Bekoshvili2942119. James Johnston2400120. Dominiko Waqaniburotu4062021. Samuel Marques801022. Arnaud Mignardi1520023. Benjamin Lapeyre22200"
"Match page >","http://opta.mc.cloud.opta.net/sportscentre/index.html?page=match&mc=RugbyProPortal&season=2018&competition=243&match=23174","Gloucester","Agen","61 - 16","GloucesterMinutes PlayedTacklesMissed TacklesTurnovers Won1. Josh Hohneck 5612002. James Hanson 463003. Gareth Denman 534004. Tom Savage 7011005. Charlie Beckett 809006. Jake Polledri 807007. Lewis Ludlow 8013008. Ben Morgan 403119. Ben Vellacott 8031010. Billy Burns 5950011. David Halaifonua 8010012. Owen Williams 8020013. Henry Trinder 7031014. Henry Purdy 8011015. Jason Woodward 5120016. Richard Hibbard 3420017. Cameron Orr 2421118. John Afoa 2730019. Freddie Clarke 1810020. Jacob Rowan 3241221. Willi Heinz 2110022. Billy Twelvetrees 2910023. Callum Braley 10100"
"Match page >","http://opta.mc.cloud.opta.net/sportscentre/index.html?page=match&mc=RugbyProPortal&season=2018&competition=243&match=23171","Worcester","Brive","30 - 20","WorcesterMinutes PlayedTacklesMissed TacklesTurnovers Won1. Ethan Waller 6410202. Joseph Taufete'e 644113. Gareth Milasinovich 525014. Pierce Phillips 806005. Christian Scotland-Williamson 447006. Huw Taylor 8012117. Sam Lewis 8017108. Gerrit-Jan van Velze 805119. Jonny Arr 8052010. Jamie Shillcock 8012011. Perry Humphreys 8030012. Ben Te'o 300013. Wynand Olivier 8030114. Tom Howe 8041115. Chris Pennell 8021116. Jack Singleton 200017. Ryan Bower 1650018. Biyi Alo 2830019. Darren Barry 3490020. Matt Williams 1651021. Michael Dowsett 000022. Jono Lance 7751123. Dean Hammond 0000"
"Match page >","http://opta.mc.cloud.opta.net/sportscentre/index.html?page=match&mc=RugbyProPortal&season=2018&competition=243&match=23181","Stade Francais","London Irish","7 - 44","Stade FrancaisMinutes PlayedTacklesMissed TacklesTurnovers Won1. Elias El Ansari 514102. Remy Bonfils 625103. Paul Alo-Emile 8012204. Paul Gabrillagues 8022005. Alexandre Flanquart 447106. Antoine Burban 555017. Hugh Pyle 809008. Bakary Meite 8013319. Charl McLeod 5160010. Jules Plisson 5130011. Jimmy Yobo 7950012. Jonathan Danty 7072213. Paul Williams 8080014. Waisea Nayacalevu 8032015. Shane Geraghty 5120016. Maxime Gau 1870017. Zurabi Zhvania 2981018. Lorenzo Cittadini 1060019. Mathieu De Giovanni 3670020. Charlie Francoz 2541021. Arthur Coville 2903022. Morne Steyn 2930023. Tony Ensor 29200"
"Match page >","http://opta.mc.cloud.opta.net/sportscentre/index.html?page=match&mc=RugbyProPortal&season=2018&competition=243&match=23169","Newcastle","Dragons","32 - 27","NewcastleMinutes PlayedTacklesMissed TacklesTurnovers Won1. Rob Vickers8011122. Ben Sowrey807003. Trevor Davison557004. Will Witty806005. Sean Robinson808016. Mark Wilson808007. Gary Graham8011018. Ryan Burrows8010009. Sam Stuart8010010. Joel Hodgson8060011. Adam Radwan8030012. Toby Flood8061013. Maxime Mermoz8060014. Alex Tait8010015. Simon Hammersley5620016. Jamie Blamire000017. Adam Brocklebank000018. Scott Wilson2541019. Glen Young000020. Will Welch000021. Ruaridh Dawson000022. Cameron Cowell000023. Chris Harris24300"
"Match page >","http://opta.mc.cloud.opta.net/sportscentre/index.html?page=match&mc=RugbyProPortal&season=2018&competition=243&match=23168","RC Enisei","Bordeaux Begles","17 - 57","RC EniseiMinutes PlayedTacklesMissed TacklesTurnovers Won1. Andrei Polivalov6210202. Stanislav Selskiy629003. Innokentiy Zykov626404. Uldis Saulite805305. Viacheslav Krasylnyk408006. Andrey Temnov805107. Vitalii Orlov787008. Maxim Gargalic7010209. Alexey Shcherban7513010. Yury Kushnarev8022011. Denis Simplikevich5732112. Dmitrii Gerasimov8054013. Davit Kacharava80102014. Jurijs Baranovs8083115. Ramil Gaisin8021016. Shamil Magomendov1812017. Valery Morozov1800018. Evgeny Pronenko1830019. Anton Rudoy1210020. Aleksandr Budychenko000021. Konstantin Uzunov520022. Aleksei Mikhaltsov2311023. Evgeny Elgin30200"
"Match page >","http://opta.mc.cloud.opta.net/sportscentre/index.html?page=match&mc=RugbyProPortal&season=2018&competition=243&match=23178","Zebre","Pau","33 - 38","ZebreMinutes PlayedTacklesMissed TacklesTurnovers Won1. Andrea Lovotti 546102. Oliviero Fabiani 586003. Eduardo Bello 7111004. David Sisi 303005. George Biagi 387006. Derick Minnie 8010147. Johan Meyer 809218. Giovanni Licata 807419. Marcello Violi 8040010. Carlo Canna 8084011. Giovanbattista Venditti 8060112. Tommaso Castello 74100113. Tommaso Boni 80112114. Giulio Bisegni 3710015. Ciaran Gaffney 8020016. Luhandre Luus 2240017. Andrea De Marchi 2640018. Roberto Tenga 820019. Leonard Krumov 5070120. Jacopo Sarto 4250021. Guglielmo Palazzani 000022. Faialaga Afamasaga 600023. Gabriele Di Giulio 33300"
"Match page >","http://opta.mc.cloud.opta.net/sportscentre/index.html?page=match&mc=RugbyProPortal&season=2018&competition=243&match=23180","Bordeaux Begles","Newcastle","20 - 21","Bordeaux BeglesMinutes PlayedTacklesMissed TacklesTurnovers Won1. Sebastien Taofifenua 533102. Adrien Pelissie 538013. Vadim Cobilas 536004. Luke Jones 8014205. Jandré Marais 598006. Marco Tauleigne 8017017. Alexandre Roumat 5914108. Leroy Houston 8018019. Yann Lesgourgues 7430010. Simon Hickey 74114011. Jean-Baptiste Dubie 7010012. Apisai Naqalevu 5653113. Pablo Uberti 8061014. Nans Ducuing 8001015. Matthieu Jalibert 7040016. Ole Avei 2740017. Thierry Paiva 27100018. Marc Clerc 2790019. Johan Aliouat 2141020. Cameron Woki 2140021. Jules Gimbert 600022. Tiaan Schoeman 1600023. Metuisela Talebula 24000"
