Match,Match-href,Home,Away,Score,Date/Time,element
"Match page >","http://opta.mc.cloud.opta.net/sportscentre/index.html?page=match&mc=RugbyProPortal&season=2018&competition=243&match=23178","Zebre","Pau","33 - 38","KO: 21 Oct 2017 14:00","PauMinutes PlayedTacklesMissed TacklesTurnovers Won1. Geoffrey Moise 544002. Lucas Rey 404203. Lourens Adriaanse 474104. Fabrice Metz 805005. Masalosalo Tutaia 403106. Ben Mowen 405227. Paddy Butler 8011018. Peter Saili 626119. Clovis Lebail 5650010. Brandon Fajardo 5630011. Watisoni Votu 8022012. Jale Vatubua 8013013. Florian Nicot 8040014. Frank Halai 8020115. Charly Malie 8010016. Laurent Bouchet 4040017. Jamie Mackintosh 2610018. Sylvain Charlet 3300019. Daniel Ramsay 4000020. Pierrick Gunther 4010021. Lekima Tagitagivalu 1821022. Thibault Daubagna 2420123. Tom Taylor 24100"
"Match page >","http://opta.mc.cloud.opta.net/sportscentre/index.html?page=match&mc=RugbyProPortal&season=2018&competition=243&match=23183","Krasny Yar","Edinburgh","14 - 73","KO: 21 Oct 2017 10:00","EdinburghMinutes PlayedTacklesMissed TacklesTurnovers Won1. Darryl Marfo401002. Neil Cochrane6313113. WP Nel403204. Anton Bresler8011215. Grant Gilchrist508006. Lewis Carmichael805317. Luke Crosbie8011108. Cornell Du Preez5411009. Sam Hidalgo-Clyne5440110. Jason Tovey2450011. Tom Brown8030012. Solomoni Rasolea5442013. James Johnstone8090114. Damien Hoyland8071115. Blair Kinghorn8062016. Stuart McInally1750017. Murray McCallum4021118. Simon Berghan4050019. Fraser McKenzie3060020. Viliame Mata2650121. Nathan Fowles5611022. Glenn Bryce2620023. Chris Dean26610"
"Match page >","http://opta.mc.cloud.opta.net/sportscentre/index.html?page=match&mc=RugbyProPortal&season=2018&competition=243&match=23165","Cardiff Blues","Lyon","29 - 19","KO: 13 Oct 2017 19:00","LyonMinutes PlayedTacklesMissed TacklesTurnovers Won1. Tornike Mataradze 614002. Deon Fourie 463113. Richard Choirat 205004. Etienne Oosthuizen 746215. Francois van der Merwe 615006. Tanginoa Halaifonua 809207. Theophile Cotte 8017118. Virgile Bruni 809109. Baptiste Couilloud 8050010. Piero Dominguez 6273111. Jone Tuva 8041212. Adrien Seguret 71111013. Pierre-Louis Barassi 80141114. Timilai Rokoduru 7120115. Delon Armitage 3310016. Virgile Lacombe 3420017. Hamza Kaabeche 1902018. Guram Papidze 6062019. Josh Bekhuis 1901020. Felix Lambey 000021. Theo Belan 910022. Jean-Marcellin Buttin 4711023. Jonathan Pelissie 18300"
"Match page >","http://opta.mc.cloud.opta.net/sportscentre/index.html?page=match&mc=RugbyProPortal&season=2018&competition=243&match=23169","Newcastle","Dragons","32 - 27","KO: 14 Oct 2017 15:00","DragonsMinutes PlayedTacklesMissed TacklesTurnovers Won1. Luke Garrett525002. Liam Belcher529323. Lloyd Fairbrother527004. Joseph Davies7611415. Matthew Screech276106. Aaron Wainwright8015707. Ollie Griffiths8013118. James Benjamin8010219. Sarel Pretorius8052010. Angus O'Brien8020011. George Gasson8061012. Adam Warren8091013. Jared Rosser80123114. Ashton Hewitt5723015. Will Talbot-Davies8041116. Gerard Ellis2830017. Thomas Davies2820018. Brok Harris2840019. Rynard Landman5370020. James Thomas420021. Owain Leonard000022. Gavin Henson000023. Pat Howard23410"
"Match page >","http://opta.mc.cloud.opta.net/sportscentre/index.html?page=match&mc=RugbyProPortal&season=2018&competition=243&match=23180","Bordeaux Begles","Newcastle","20 - 21","KO: 21 Oct 2017 17:30","NewcastleMinutes PlayedTacklesMissed TacklesTurnovers Won1. Rob Vickers777102. Scott Lawson8013103. Jon Welsh737004. Calum Green8013245. Sean Robinson8010416. Will Welch8010107. Gary Graham5211208. Ryan Burrows809129. Sam Stuart5611010. Toby Flood80112111. Adam Radwan8011012. Josh Matavesi8090113. Maxime Mermoz8031114. Chris Harris8031015. Alex Tait7010016. Ben Sowrey000017. Sami Mavinga310018. Scott Wilson710019. Glen Young000020. Mark Wilson2830021. Micky Young2441022. Cameron Cowell000023. Craig Willis0000"
"Match page >","http://opta.mc.cloud.opta.net/sportscentre/index.html?page=match&mc=RugbyProPortal&season=2018&competition=243&match=23175","Brive","Oyonnax","38 - 13","KO: 20 Oct 2017 18:00","OyonnaxMinutes PlayedTacklesMissed TacklesTurnovers Won1. Khatchik Vartanov 7421112. Hikawera Elliot 466003. Kevin Buys 409104. Manuel Leindeker 659005. Christian Njewel 537016. Luc Barba 408007. Shay Kerry 8015008. Maurie Fa'asavalu 7416209. Julien Audy 5120010. Anthony Fuertes 8021011. Axel Muler 8030112. Roimata Hansell-Pune 5130013. Ulupano Seuteni 8041014. Daniel Ikpefan 8041015. Silvere Tian 8040016. Benjamin Geledan 4030017. Giorgi Vepkhvadze 600018. Pietro Ceccarelli 4000019. Geoffrey Fabbri 2740020. James Hall 2910021. Jose Lima 2921022. Bilel Taieb 4020023. Kilian Bendjaballah 15000"
"Match page >","http://opta.mc.cloud.opta.net/sportscentre/index.html?page=match&mc=RugbyProPortal&season=2018&competition=243&match=23167","Sale","Toulouse","20 - 20","KO: 13 Oct 2017 20:00","ToulouseMinutes PlayedTacklesMissed TacklesTurnovers Won1. Danie Mienie 545012. Julien Marchand 470113. Maks van Dyk 668004. Florian Verhaeghe 809105. Piula Faasalele 766006. Semi Kunatani 8011237. Rynhard Elstadt 546008. François Cros 689009. Sebastien Bezy 8060110. Jean-Marc Doussain 80112011. Yoann Huget 3901012. Sofiane Guitoune 7851013. Jarrod Poi 8071114. Wandie Mjekevu 8012015. Maxime Medard 8031016. David Roumieu 3341017. Rodrigue Neti 2620018. Clement Castets 1430019. Gillian Galan 2630020. Carl Axtens 420021. Selevasio Tolofua 1220022. Romain Ntamack 4101023. Lucas Tauzin 2000"
"Match page >","http://opta.mc.cloud.opta.net/sportscentre/index.html?page=match&mc=RugbyProPortal&season=2018&competition=243&match=23170","London Irish","Edinburgh","14 - 37","KO: 14 Oct 2017 15:00","EdinburghMinutes PlayedTacklesMissed TacklesTurnovers Won1. Allan Dell484002. Stuart McInally6111003. Simon Berghan515004. Fraser McKenzie5710005. Ben Toolis8017006. Jamie Ritchie809207. John Hardie6612118. Cornell Du Preez807109. Sam Hidalgo-Clyne8050010. Jason Tovey73112011. Damien Hoyland6621012. Solomoni Rasolea7960013. Chris Dean8081014. Dougie Fife8040015. Glenn Bryce8000016. Neil Cochrane1930117. Darryl Marfo3222018. WP Nel2950019. Grant Gilchrist2341020. Luke Crosbie1400021. Nathan Fowles700022. Tom Brown100023. Jason Harries14200"
"Match page >","http://opta.mc.cloud.opta.net/sportscentre/index.html?page=match&mc=RugbyProPortal&season=2018&competition=243&match=23168","RC Enisei","Bordeaux Begles","17 - 57","KO: 13 Oct 2017 09:00","Bordeaux BeglesMinutes PlayedTacklesMissed TacklesTurnovers Won1. Thierry Paiva8018012. Ole Avei526013. Peni Ravai323004. Johan Aliouat6312205. Cyril Cazeaux8018206. Alexandre Roumat8014007. Hugh Chalmers5213128. Marco Tauleigne8014109. Gauthier Doubrere4770010. Matthieu Jalibert58110111. Iban Etcheverry8052012. Jean-Baptiste Dubie80171113. Pablo Uberti80132014. Metuisela Talebula8030015. Darly Domvo6821116. Florian Dufour2800017. Jean-Baptiste Poux2661018. Lasha Tabidze2220019. Pierre Gayraud1710020. Cameron Woki2860021. Kitione Kamikamica1210122. Yann Lesgourgues3300023. Tiaan Schoeman22200"
"Match page >","http://opta.mc.cloud.opta.net/sportscentre/index.html?page=match&mc=RugbyProPortal&season=2018&competition=243&match=23173","Krasny Yar","Stade Francais","34 - 29","KO: 14 Oct 2017 09:00","Stade FrancaisMinutes PlayedTacklesMissed TacklesTurnovers Won1. Zurabi Zhvania 4011002. Craig Burden 4610113. Giorgi Melikidze 4015204. Steevy Cerqueira 137005. Mathieu De Giovanni 8029106. Charlie Francoz 8014117. Sylvain Nicolas 7015118. Bakary Meite 8011519. Terry Bouhraoua 6080010. Shane Geraghty 8081011. Jimmy Yobo 8031012. Paul Williams 6051013. Theo Millet 8062014. Julien Arias 8042015. Tony Ensor 8011016. Lucas Da Silva 2210017. Elias El Ansari 4000018. Lorenzo Cittadini 4050019. Hugh Pyle 6772020. Maxime Gau 1220121. Arthur Coville 2030022. Jules Plisson 2000023. Karim Qadiri 10000"
