Match,Match-href,Home,Away,Score,Date/Time,element
"Match page >","http://opta.mc.cloud.opta.net/sportscentre/index.html?page=match&mc=RugbyProPortal&season=2018&competition=242&match=218204","Clermont Auvergne","Northampton","24 - 7","KO: 21 Oct 2017 15:15","Clermont AuvergneMinutes PlayedTacklesMissed TacklesTurnovers Won1. Raphael Chaume617102. Benjamin Kayser6612103. Rabah Slimani6112304. Flip van der Merwe497315. Sitaleki Timani8010306. Judicael Cancoriet7115107. Alexandre Lapandry6610018. Fritz Lee7121209. Morgan Parra72152010. Camille Lopez2210011. Alivereti Raka8020012. Rémi Lamerat80162113. Damian Penaud6890114. Nick Abendanon8082015. Isaia Toeava8010016. John Ulugia1400017. Etienne Falgoux1950018. Aaron Jarvis1820119. Paul Jedrasiak3180020. Camille Gerondeau1422021. Charlie Cassang5860022. Peter Betham1231023. Scott Spedding17110"
"Match page >","http://opta.mc.cloud.opta.net/sportscentre/index.html?page=match&mc=RugbyProPortal&season=2018&competition=242&match=218104","Bath","Benetton","23 - 0","KO: 14 Oct 2017 17:30","BathMinutes PlayedTacklesMissed TacklesTurnovers Won1. Nick Auterac5111002. Tom Dunn5917103. Anthony Perenise489204. Charlie Ewels8015205. Elliott Stooke6111106. Zach Mercer615017. Sam Underhill197128. Taulupe Faletau8018209. Chris Cook5941010. Josh Lewis80102011. Aled Brew8020012. Max Clark74112013. Jonathan Joseph80102014. Semesa Rokoduguni8061215. Anthony Watson8000016. Nathan Charles2121017. Beno Obano29111018. Scott Andrews3291019. James Phillips1940020. Francois Louw61202221. Kahn Fotuali'i2132122. Jack Wilson600023. Darren Allinson0000"
"Match page >","http://opta.mc.cloud.opta.net/sportscentre/index.html?page=match&mc=RugbyProPortal&season=2018&competition=242&match=218109","Ospreys","Clermont Auvergne","21 - 26","KO: 15 Oct 2017 17:30","OspreysMinutes PlayedTacklesMissed TacklesTurnovers Won1. Nicky Smith 475002. Scott Otten 365003. Dimitri Arhip 474104. Bradley Davies 676105. Alun Wyn Jones 807106. Dan Lydiate 805007. Justin Tipuric 807008. Dan Baker 326109. Rhys Webb 77101010. Dan Biggar 8062011. Cory Allen 7101012. Owen Watkin 8050213. Kieron Fonotia 8040014. Keelan Giles 6343015. Dan Evans 8011016. Sam Parry 4410017. Paul James 3350018. Ma'afu Fia 3350019. Lloyd Ashley 1310020. Olly Cracknell 4830021. Tom Habberfield 900022. Sam Davies 1700023. James Hook 3000"
"Match page >","http://opta.mc.cloud.opta.net/sportscentre/index.html?page=match&mc=RugbyProPortal&season=2018&competition=242&match=218106","Exeter","Glasgow Warriors","24 - 15","KO: 14 Oct 2017 19:45","ExeterMinutes PlayedTacklesMissed TacklesTurnovers Won1. Ben Moon 627102. Jack Yeandle 803403. Harry Williams 515004. Mitch Lees 804215. Jonny Hill 574006. Don Armand 805207. Julian Salvi 628208. Sam Simmonds 807009. Nic White 6731110. Gareth Steenson 8002011. Olly Woodburn 8051012. Ian Whitten 8072113. Henry Slade 80101014. Lachlan Turner 6221015. Phil Dollman 8032016. Elvis Taione 000017. Carl Rimmer 1810018. Tomas Francis 2941119. Ollie Atkins 2340020. Thomas Waldrom 1801021. Stu Townsend 1300022. Tom Hendrickson 000023. James Short 18100"
"Match page >","http://opta.mc.cloud.opta.net/sportscentre/index.html?page=match&mc=RugbyProPortal&season=2018&competition=242&match=218201","Scarlets","Bath","13 - 18","KO: 20 Oct 2017 19:45","ScarletsMinutes PlayedTacklesMissed TacklesTurnovers Won1. Wyn Jones683002. Ken Owens569003. Samson Lee637004. Jake Ball568005. Lewis Rawlins8010306. Aaron Shingler8012017. Will Boyde5612128. Tadhg Beirne805019. Gareth Davies6861010. Rhys Patchell7161011. Steffan Evans8011012. Hadleigh Parkes6880013. Jonathan Davies8020114. Johnny McNicholl8020115. Leigh Halfpenny8020016. Ryan Elias2420017. Dylan Evans1210018. Werner Kruger1710019. David Bulbring2411020. Josh Macleod2431021. Jonathan Evans1200022. Paul Asquith900023. Scott Williams12000"
"Match page >","http://opta.mc.cloud.opta.net/sportscentre/index.html?page=match&mc=RugbyProPortal&season=2018&competition=242&match=218210","Wasps","Harlequins","41 - 10","KO: 22 Oct 2017 17:30","WaspsMinutes PlayedTacklesMissed TacklesTurnovers Won1. Matt Mullan 607002. Ashley Johnson 704103. Jake Cooper-Woolley 688014. Joe Launchbury 8012005. Will Rowlands 6810206. James Haskell 608017. Thomas Young 6817028. Nathan Hughes 8010129. Dan Robson 6841010. Jimmy Gopperth 70101011. Josh Bassett 8010012. Juan De Jongh 8091013. Elliot Daly 8063014. Christian Wade 8032015. Willie Le Roux 8041016. Antonio Harris 1020017. Simon McIntyre 2010018. Marty Moore 1200019. James Gaskell 1200020. Jack Willis 2010221. Guy Thompson 1220022. Joe Simpson 1220023. Rob Miller 10201"
"Match page >","http://opta.mc.cloud.opta.net/sportscentre/index.html?page=match&mc=RugbyProPortal&season=2018&competition=242&match=218105","Harlequins","La Rochelle","27 - 34","KO: 14 Oct 2017 17:30","HarlequinsMinutes PlayedTacklesMissed TacklesTurnovers Won1. Joe Marler 8010102. Dave Ward 805313. Will Collier 764104. Charlie Matthews 538105. James Horwill 809026. Ben Glynn 805217. Chris Robshaw 806108. Mathew Luamanu 806009. Danny Care 7082110. Marcus Smith 8042011. Tim Visser 8010112. Jamie Roberts 6271013. Joe Marchant 8041014. Marland Yarde 8040015. Mike Brown 8021016. Elia Elia 000017. Mark Lambert 000018. Phil Swainston 400019. George Merrick 2710020. Archie White 000021. Dave Lewis 1000022. Tim Swiel 000023. Francis Saili 18000"
"Match page >","http://opta.mc.cloud.opta.net/sportscentre/index.html?page=match&mc=RugbyProPortal&season=2018&competition=242&match=218205","Munster","Racing 92","14 - 7","KO: 21 Oct 2017 17:30","MunsterMinutes PlayedTacklesMissed TacklesTurnovers Won1. Dave Kilcoyne 7611112. Rhys Marshall 6114203. Stephen Archer 5115004. Jean Kleyn 5416005. Billy Holland 8013006. Peter O'Mahony 8015007. Tommy O'Donnell 7015208. CJ Stander 8020009. Conor Murray 8080010. Ian Keatley 8092011. Keith Earls 8041012. Rory Scannell 8091013. Chris Farrell 8050014. Darren Sweetnam 5431015. Simon Zebo 8020016. Kevin O'Byrne 1910017. Liam O'Connor 420018. John Ryan 2910019. Mark Flanagan 2630020. Jack O'Donoghue 1010021. Duncan Williams 000022. JJ Hanrahan 000023. Andrew Conway 26100"
"Match page >","http://opta.mc.cloud.opta.net/sportscentre/index.html?page=match&mc=RugbyProPortal&season=2018&competition=242&match=218203","Benetton","Toulon","29 - 30","KO: 21 Oct 2017 15:15","BenettonMinutes PlayedTacklesMissed TacklesTurnovers Won1. Federico Zani 498002. Luca Bigi 5411013. Simone Ferrari 5913004. Marco Lazzaroni 4911105. Dean Budd 8011106. Nasi Manu 546027. Braam Steyn 8012208. Robert Barbieri 495119. Edoardo Gori 6272010. Ian McKinley 8042011. Luca Sperandio 8051212. Alberto Sgarbi 8071113. Juan Ignacio Brex 8061014. Angelo Esposito 8061115. Jayden Hayward 8011016. Tomas Baravalle 2620017. Cherif Traore 3131018. Tizano Pasquali 2110019. Marco Fuser 3110020. Sebastian Negri 3150021. Tito Tebaldi 1820022. Francesco Minto 2630123. Tommaso Benvenuti 0000"
"Match page >","http://opta.mc.cloud.opta.net/sportscentre/index.html?page=match&mc=RugbyProPortal&season=2018&competition=242&match=218101","Ulster","Wasps","19 - 9","KO: 13 Oct 2017 19:45","WaspsMinutes PlayedTacklesMissed TacklesTurnovers Won1. Matt Mullan6413002. Tom Cruse147013. Jake Cooper-Woolley6713014. Joe Launchbury8015105. Will Rowlands6115006. James Haskell8015307. Thomas Young407038. Nathan Hughes8014209. Dan Robson8070210. Jimmy Gopperth80103011. Josh Bassett7410012. Brendan Macken1711013. Elliot Daly8081014. Christian Wade8011015. Willie Le Roux8001016. Ashley Johnson66120017. Simon McIntyre1630018. Marty Moore1300019. James Gaskell1910020. Jack Willis40192021. Joe Simpson000022. Rob Miller63101023. Marcus Watson0000"
