Match,Match-href,Home,Away,Score,Date/Time,element
"Match page >","http://opta.mc.cloud.opta.net/sportscentre/index.html?page=match&mc=RugbyProPortal&season=2018&competition=203&match=318031","Bordeaux Begles","Stade Francais","30 - 10","KO: 09 Sep 2017 17:00","Bordeaux BeglesMinutes PlayedTacklesMissed TacklesTurnovers Won1. Sebastien Taofifenua 557002. Clement Maynadier 585003. Vadim Cobilas 553004. Luke Jones 8012025. Jandré Marais 519016. Mahamadou Diaby 8010007. Loann Goujon 703108. Leroy Houston 8014109. Baptiste Serin 5860010. Simon Hickey 4531011. Neville Edwards 8030112. Julien Rey 8071113. Jean-Baptiste Dubie 6350014. Fa'asiu Fuatai 8070115. Nans Ducuing 8031016. Adrien Pelissie 2230017. Peni Ravai 2500018. Cyril Cazeaux 2950019. Hugh Chalmers 1040120. Yann Lesgourgues 2200021. Tiaan Schoeman 3520022. Jayden Spence 1721023. Jean-Baptiste Poux 25101"
"Match page >","http://opta.mc.cloud.opta.net/sportscentre/index.html?page=match&mc=RugbyProPortal&season=2018&competition=203&match=318042","Clermont Auvergne","Brive","62 - 6","KO: 16 Sep 2017 19:45","Clermont AuvergneMinutes PlayedTacklesMissed TacklesTurnovers Won1. Raphael Chaume 524202. Benjamin Kayser 516003. Rabah Slimani 587004. Paul Jedrasiak 7010005. Sebastien Vahaamahina 749016. Camille Gerondeau 807107. Peceli Yato 585108. Fritz Lee 807009. Morgan Parra 5820010. Camille Lopez 8060111. Alivereti Raka 8010012. Remi Lamerat 8030113. Damian Penaud 5840014. David Strettle 8050015. Nick Abendanon 6410016. John Ulugia 1910017. Etienne Falgoux 2871018. Maxence Barjaud 610019. Viktor Kolelishvili 2250020. Greig Laidlaw 2211021. Patricio Fernandez 1600022. Aurelien Rougerie 2210023. Aaron Jarvis 22200"
"Match page >","http://opta.mc.cloud.opta.net/sportscentre/index.html?page=match&mc=RugbyProPortal&season=2018&competition=203&match=318076","Stade Francais","Montpellier","31 - 20","KO: 07 Oct 2017 13:45","Stade FrancaisMinutes PlayedTacklesMissed TacklesTurnovers Won1. Gurthro Steenkamp 567102. Remy Bonfils 7521313. Paul Alo-Emile 7513004. Paul Gabrillagues 6617005. Alexandre Flanquart 8014106. Hugh Pyle 8013117. Sekou Macalou 4612008. Willem Alberts 8015019. Arthur Coville 6330010. Jules Plisson 5931011. Marvin O'Connor 7171012. Jonathan Danty 8093013. Waisea Nayacalevu 8084014. Julien Arias 8042015. Tony Ensor 8020016. Lucas Da Silva 500017. Siegfried Fisi'ihoi 2440118. Steevy Cerqueira 1441119. Antoine Burban 2490020. Charl McLeod 1722021. Morne Steyn 2190022. Jimmy Yobo 901023. Lorenzo Cittadini 5000"
"Match page >","http://opta.mc.cloud.opta.net/sportscentre/index.html?page=match&mc=RugbyProPortal&season=2018&competition=203&match=318094","Montpellier","Clermont Auvergne","28 - 24","KO: 05 Nov 2017 15:50","MontpellierMinutes PlayedTacklesMissed TacklesTurnovers Won1. Mikheil Nariashvili 644202. Romain Ruffenach 8010013. Johannes Jonker 645004. Nicolaas Janse van Rensburg 7511105. Konstantin Mikautadze 523106. Fulgence Ouedraogo 8013007. Wian Liebenberg 8011008. Jacques Du Plessis 8013019. Benoit Paillaugue 7442010. Aaron Cruden 8051011. Nemani Nadolo 7002012. Jan Serfontein 6593013. Francois Steyn 7490014. Joseph Tomane 7051115. Henry Immelman 7030016. Vincent Giudicelli 000017. Yvan Watremez 1621018. Paul Willemse 2811019. Martin Devergie 500020. Enzo Sanga 600021. Alexandre Dumoulin 1530022. Joffrey Michel 610023. Mohammed Haouas 16200"
"Match page >","http://opta.mc.cloud.opta.net/sportscentre/index.html?page=match&mc=RugbyProPortal&season=2018&competition=203&match=318082","Clermont Auvergne","Stade Francais","33 - 10","KO: 28 Oct 2017 19:45","Clermont AuvergneMinutes PlayedTacklesMissed TacklesTurnovers Won1. Raphael Chaume 402002. Benjamin Kayser 538213. Rabah Slimani 536204. Paul Jedrasiak 625005. Sitaleki Timani 807206. Camille Gerondeau 8010117. Alexandre Lapandry 495008. Fritz Lee 8010109. Morgan Parra 8030010. Dorian Lavernhe 4441011. Alivereti Raka 8000012. Wesley Fofana 8092213. Rémi Lamerat 5341014. David Strettle 8010015. Scott Spedding 6910016. Yohan Beheregaray 2730017. Etienne Falgoux 4031018. Flip van der Merwe 1840019. Viktor Kolelishvili 3140020. Charlie Cassang 3610021. Isaia Toeava 1120122. Aurelien Rougerie 2721023. Davit Zirakashvili 27200"
"Match page >","http://opta.mc.cloud.opta.net/sportscentre/index.html?page=match&mc=RugbyProPortal&season=2018&competition=203&match=318085","Pau","Montpellier","16 - 22","KO: 28 Oct 2017 17:00","PauMinutes PlayedTacklesMissed TacklesTurnovers Won1. Thomas Domingo 4412022. Laurent Bouchet 4412003. Malik Hamadache 8011004. Fabrice Metz 8011105. Dave Foley 808006. Daniel Ramsay 445207. Pierrick Gunther 8018018. Peter Saili 589109. Thibault Daubagna 5660010. Colin Slade 8093011. Watisoni Votu 7360012. Jale Vatubua 8050013. Conrad Smith 8032114. Bastien Pourailly 5312015. Tom Taylor 8020016. Quentin Lespiaucq 3651017. Jamie Mackintosh 3650018. Paddy Butler 3640119. Sean Dougall 2220220. Julien Tomas 2410021. Florian Nicot 700022. Charly Malie 2710023. Sylvain Charlet 0000"
"Match page >","http://opta.mc.cloud.opta.net/sportscentre/index.html?page=match&mc=RugbyProPortal&season=2018&competition=203&match=318014","Oyonnax","Toulouse","23 - 23","KO: 26 Aug 2017 14:10","OyonnaxMinutes PlayedTacklesMissed TacklesTurnovers Won1. Tommy Raynaud171002. Hikawera Elliot612103. Hoani Tui803104. Steven Sykes401205. Christian Njewel653106. Patrick Sobela8010007. Valentin Ursache455008. Rory Grice804009. Jeremy Gondrand5020010. Ben Botica8040011. Dug Codjo8020112. Matt Hopper8093013. Mitch Inman8020014. Daniel Ikpefan8030015. Quentin Etienne Lecoq8000016. Benjamin Geledan1950017. Khatchik Vartanov6390018. Phoenix Battye4040019. Maurie Fa'asavalu1530020. James Hall3020021. Ulupano Seuteni000022. Curtis Browning3530323. Irakli Mirtskhulava0000"
"Match page >","http://opta.mc.cloud.opta.net/sportscentre/index.html?page=match&mc=RugbyProPortal&season=2018&competition=203&match=318047","Toulouse","Stade Francais","53 - 17","KO: 16 Sep 2017 13:45","ToulouseMinutes PlayedTacklesMissed TacklesTurnovers Won1. Lucas Pointud 496202. Leonardo Ghiraldini 493003. Charlie Faumuina 495104. Yoann Maestri 608005. Joe Tekori 706116. Talalelei Gray 807227. Louis-Benoit Madaule 807308. Carl Axtens 8010109. Antoine Dupont 6140010. Zack Holmes 80101011. Cheslin Kolbe 6570112. Yann David 80131113. Jarrod Poi 4972014. Yoann Huget 8062015. Thomas Ramos 8031016. David Roumieu 3121117. Danie Mienie 3120018. Piula Faasalele 2012019. Gillian Galan 1030120. Gael Fickou 3141021. Jean-Marc Doussain 1930222. Maxime Medard 1510023. Maks van Dyk 31320"
"Match page >","http://opta.mc.cloud.opta.net/sportscentre/index.html?page=match&mc=RugbyProPortal&season=2018&competition=203&match=318095","Oyonnax","Castres","19 - 32","KO: 04 Nov 2017 17:30","OyonnaxMinutes PlayedTacklesMissed TacklesTurnovers Won1. Tommy Raynaud 689002. Quentin MacDonald 8010003. Hoani Tui 806004. Phoenix Battye 809005. Steven Sykes 553006. Patrick Sobela 8012107. Valentin Ursache 809008. Rory Grice 6810009. James Hall 6230010. Ben Botica 8041011. Axel Muler 8010012. Matt Hopper 7171013. Mitch Inman 8020014. Daniel Ikpefan 8051015. Quentin Etienne Lecoq 5900016. Benjamin Geledan 000017. Khatchik Vartanov 1200018. Curtis Browning 1210019. Hikawera Elliot 2530020. Julien Audy 1810021. Roimata Hansell-Pune 900022. Silvere Tian 2100023. Pietro Ceccarelli 0000"
"Match page >","http://opta.mc.cloud.opta.net/sportscentre/index.html?page=match&mc=RugbyProPortal&season=2018&competition=203&match=318081","Castres","Agen","43 - 28","KO: 29 Oct 2017 11:30","CastresMinutes PlayedTacklesMissed TacklesTurnovers Won1. Antoine Tichit708602. Jody Jenneker758103. Daniel Kotze756404. Loic Jacquet566305. Rodrigo Capo Ortega808106. Yannick Caballero657107. Anthony Jelonch809318. Steve Mafi806119. Ludovic Radosavljevic5672010. Benjamin Urdapilleta8051011. David Smith8030012. Robert Ebersohn80100013. Afusipa Taumoepeau7040014. Armand Batlle8041015. Julien Dumora8010016. Marc-Antoine Rallier500017. Tudor Stroe1010018. Christophe Samson2440019. Mathieu Babillot1500020. Rory Kockott2440021. Florian Vialelle1000022. Kylian Jaminet000023. Eric Sione5000"
"Match page >","http://opta.mc.cloud.opta.net/sportscentre/index.html?page=match&mc=RugbyProPortal&season=2018&competition=203&match=318057","Clermont Auvergne","Racing 92","23 - 21","KO: 23 Sep 2017 13:45","Clermont AuvergneMinutes PlayedTacklesMissed TacklesTurnovers Won1. Raphael Chaume 708002. Benjamin Kayser 546403. Rabah Slimani 544004. Flip van der Merwe 176005. Sebastien Vahaamahina 808006. Judicael Cancoriet 704007. Alexandre Lapandry 746108. Fritz Lee 708409. Morgan Parra 8042110. Camille Lopez 8091011. Remy Grosso 6922012. Remi Lamerat 8032113. Peter Betham 8041014. Alivereti Raka 4030015. Nick Abendanon 8063016. John Ulugia 2610017. Beqa Kakabadze 1000018. Paul Jedrasiak 6380019. Peceli Yato 620020. Greig Laidlaw 000021. Patricio Fernandez 4020122. Aurelien Rougerie 1100023. Davit Zirakashvili 26100"
"Match page >","http://opta.mc.cloud.opta.net/sportscentre/index.html?page=match&mc=RugbyProPortal&season=2018&competition=203&match=318034","La Rochelle","Clermont Auvergne","51 - 20","KO: 09 Sep 2017 13:45","La RochelleMinutes PlayedTacklesMissed TacklesTurnovers Won1. Mike Corbel515002. Hikairo Forbes635203. Uini Atonio513004. Jason Eaton808105. Jone Qovu Nailiko809006. Zeno Kieft583107. Levani Botia8011128. Victor Vito635019. Alexis Bales6331010. Ryan Lamb6640011. Elliot Roudil8042012. Pierre Aguillon5061013. Paul Jordaan8092014. Gabriel Lacroix8024015. Jeremy Sinzelle8042116. Pierre Bourgarit1740017. Dany Priso2962018. William Demotte1750019. Romain Sazy1520020. Jean Victor Goillot1720021. Steeve Barry1420022. Kini Murimurivalu3061223. Mohamed Boughanmi29300"
"Match page >","http://opta.mc.cloud.opta.net/sportscentre/index.html?page=match&mc=RugbyProPortal&season=2018&competition=203&match=318055","Lyon","Castres","31 - 12","KO: 24 Sep 2017 11:30","LyonMinutes PlayedTacklesMissed TacklesTurnovers Won1. Alexandre Menini 5212002. Mickael Ivaldi 524203. Clement Ric 445014. Etienne Oosthuizen 497015. Hendrik Roodt 8012036. Julien Puricelli 807407. Liam Gill 416008. Carl Fearns 617209. Baptiste Couilloud 8030010. Lionel Beauxis 7163011. Alexis Palisson 8062112. Thibault Regard 8060013. Theo Belan 6971014. Toby Arnold 8060315. Delon Armitage 8040116. Virgile Lacombe 2831017. Albertus Buckle 2832118. Josh Bekhuis 3164019. Taiasina Tuifua 1932020. Frederic Michalak 911021. Dylan Cretin 2960122. Mike Harris 1101023. Francisco Gomez Kodela 36801"
"Match page >","http://opta.mc.cloud.opta.net/sportscentre/index.html?page=match&mc=RugbyProPortal&season=2018&competition=203&match=318044","Montpellier","Toulon","43 - 20","KO: 17 Sep 2017 15:50","MontpellierMinutes PlayedTacklesMissed TacklesTurnovers Won1. Mikheil Nariashvili 803012. Bismarck Du Plessis 805133. Antoine Guillamon 594104. Jacques Du Plessis 515005. Paul Willemse 696016. Fulgence Ouedraogo 586007. Yacouba Camara 806018. Louis Picamoles 804009. Ruan Pienaar 8021010. Aaron Cruden 80101011. Nemani Nadolo 8022112. Francois Steyn 8060013. Henry Immelman 8030114. Timoci Nagusa 8011115. Benjamin Fall 6601016. Charles Geli 1100117. Yvan Watremez 000018. Konstantin Mikautadze 2931019. Julien Bardy 2230020. Enzo Sanga 000021. Joseph Tomane 1400022. Joffrey Michel 000023. Mohammed Haouas 21100"
"Match page >","http://opta.mc.cloud.opta.net/sportscentre/index.html?page=match&mc=RugbyProPortal&season=2018&competition=203&match=318073","Brive","Castres","27 - 22","KO: 07 Oct 2017 17:45","BriveMinutes PlayedTacklesMissed TacklesTurnovers Won1. Naama Leleimalefaga 485002. Mike Tadjer 486003. Sila Puafisi 484004. Julien Ledevedec 806105. Peet Marais 543006. Said Hireche 8012137. Etienne Herjean 134018. Sisa Koyamaibole 636009. Samuel Marques 7454110. Matthieu Ugalde 8081111. Guillaume Namy 8061112. Poutasi Luafutu 8071013. Arnaud Mignardi 8063214. Takudzwa Ngwenya 7621015. Benjamin Lapeyre 8012016. Thomas Acquier 3251017. Karlen Asieshvili 3241118. Jan Uys 2631019. Retief Marais 67150120. Vasil Lobzhanidze 610021. Nadir Megdoud 400022. Benjamin Petre 1721023. James Johnston 32400"
"Match page >","http://opta.mc.cloud.opta.net/sportscentre/index.html?page=match&mc=RugbyProPortal&season=2018&competition=203&match=318074","La Rochelle","Racing 92","16 - 9","KO: 08 Oct 2017 15:50","La RochelleMinutes PlayedTacklesMissed TacklesTurnovers Won1. Mike Corbel 413302. Jean Charles Orioli 415003. Uini Atonio 647104. Romain Sazy 8015115. Jone Qovu Nailiko 808016. Gregory Lamboley 494007. Kevin Gourdon 6014118. Victor Vito 8012119. Alexis Bales 6473010. Brock James 3011011. Jeremy Sinzelle 80100112. Pierre Aguillon 6191013. Geoffrey Doumayrou 80120114. Gabriel Lacroix 8020015. Kini Murimurivalu 8011016. Pierre Bourgarit 3970017. Dany Priso 3990018. Jason Eaton 3140019. Afaesetiti Amosa 2040020. Jean Victor Goillot 1610021. Paul Jordaan 1920022. Vincent Rattez 5021023. Vincent Pelo 16100"
