"","Krasny YarMinutes PlayedTacklesMissed TacklesTurnovers Won1","SaleMinutes PlayedTacklesMissed TacklesTurnovers Won1","BriveMinutes PlayedTacklesMissed TacklesTurnovers Won1","GloucesterMinutes PlayedTacklesMissed TacklesTurnovers Won1","WorcesterMinutes PlayedTacklesMissed TacklesTurnovers Won1","Stade FrancaisMinutes PlayedTacklesMissed TacklesTurnovers Won1","NewcastleMinutes PlayedTacklesMissed TacklesTurnovers Won1","RC EniseiMinutes PlayedTacklesMissed TacklesTurnovers Won1","ZebreMinutes PlayedTacklesMissed TacklesTurnovers Won1","Bordeaux BeglesMinutes PlayedTacklesMissed TacklesTurnovers Won1","Cardiff BluesMinutes PlayedTacklesMissed TacklesTurnovers Won1","London IrishMinutes PlayedTacklesMissed TacklesTurnovers Won1","PauMinutes PlayedTacklesMissed TacklesTurnovers Won1","ToulouseMinutes PlayedTacklesMissed TacklesTurnovers Won1","RC EniseiMinutes PlayedTacklesMissed TacklesTurnovers Won1","LyonMinutes PlayedTacklesMissed TacklesTurnovers Won1","ConnachtMinutes PlayedTacklesMissed TacklesTurnovers Won1","AgenMinutes PlayedTacklesMissed TacklesTurnovers Won1","OyonnaxMinutes PlayedTacklesMissed TacklesTurnovers Won1","Krasny YarMinutes PlayedTacklesMissed TacklesTurnovers Won1"
"2"," Sione Fukofuka 649102"," Ross Harrison 809102"," Naama Leleimalefaga513102"," Josh Hohneck 5612002"," Ethan Waller 6410202"," Elias El Ansari 514102"," Rob Vickers8011122"," Andrei Polivalov6210202"," Andrea Lovotti 546102"," Sebastien Taofifenua 533102"," Corey Domachowski 8010112"," Harry Elrington 615102"," Geoffrey Moise614202"," Rodrigue Neti 403002"," Andrei Polivalov609202"," Alexandre Menini 451002"," Denis Buckley 7213212"," Kamaliele Tufele6612102"," Giorgi Vepkhvadze 448002"," Sione Fukofuka 508102"
"3"," Valery Tsnobiladze 602203"," Rob Webber 566203"," Thomas Acquier512003"," James Hanson 463003"," Joseph Taufete'e 644113"," Remy Bonfils 625103"," Ben Sowrey807003"," Stanislav Selskiy629003"," Oliviero Fabiani 586003"," Adrien Pelissie 538013"," Matthew Rees 403103"," Tom Woolstencroft 543213"," Lucas Rey555103"," Leonardo Ghiraldini 654103"," Stanislav Selskiy689313"," Virgile Lacombe 521103"," Dave Heffernan 5411033"," Paula Ngauamo506103"," Benjamin Geledan 517013"," Jaba Bregvadze 5413003"
"4"," Azamat Bitiev 599304"," Halani 'Aulika 546004"," Damien Jourdain515004"," Gareth Denman 534004"," Gareth Milasinovich 525014"," Paul Alo-Emile 8012204"," Trevor Davison557004"," Innokentiy Zykov626404"," Eduardo Bello 7111004"," Vadim Cobilas 536004"," Dillon Lewis 495014"," Oli Hoskins 626104"," Lourens Adriaanse615104"," Dorian Aldegheri 403104"," Innokentiy Zykov7411304"," Guram Papidze 614004"," Dominic Robertson-McCoy 429204"," Vakhtangi Akhobadze669004"," Irakli Mirtskhulava 326004"," Azamat Bitiev 506504"
"5"," Andrei Mahu 772305"," Bryn Evans 8011105"," Julien Ledevedec569015"," Tom Savage 7011005"," Pierce Phillips 806005"," Paul Gabrillagues 8022005"," Will Witty806005"," Uldis Saulite805305"," David Sisi 303005"," Luke Jones 8014205"," George Earle 274005"," William Lloyd 726105"," Dave Foley697005"," Piula Faasalele 809125"," Uldis Saulite806205"," Felix Lambey 803205"," Quinn Roux 4811005"," Denis Marchois5510005"," Geoffrey Fabbri 809105"," Andrei Mahu 8010305"
"6"," Andrey Garbuzov 8011106"," Andrei Ostrikov 7818006"," Jan Uys8015216"," Charlie Beckett 809006"," Christian Scotland-Williamson 447006"," Alexandre Flanquart 447106"," Sean Robinson808016"," Viacheslav Krasylnyk408006"," George Biagi 387006"," Jandré Marais 598006"," Seb Davies 805306"," Joshua McNally 8010026"," Masalosalo Tutaia758006"," Yoann Maestri 747016"," Viacheslav Krasylnyk483006"," Etienne Oosthuizen 594026"," James Cannon 8020206"," Corentin Braendlin808106"," Christian Njewel 5110016"," Andrey Garbuzov 578206"
"7"," Victor Gresev 8011017"," Cameron Neild 8016107"," Peniami Narisia6512307"," Jake Polledri 807007"," Huw Taylor 8012117"," Antoine Burban 555017"," Mark Wilson808007"," Andrey Temnov805107"," Derick Minnie 8010147"," Marco Tauleigne 8017017"," Macauley Cook 6110017"," Max Northcote-Green 8014217"," Daniel Ramsay552207"," Semi Kunatani 8016007"," Mikheil Gachechiladze8014027"," Julien Puricelli 804107"," Eoin McKeon 8015007"," Yoan Tanga8013017"," Bilel Taieb 809207"," Victor Gresev 808107"
"8"," Viktor Arhip 8013008"," Ben Curry 8017218"," Fabien Sanconnie404008"," Lewis Ludlow 8013008"," Sam Lewis 8017108"," Hugh Pyle 809008"," Gary Graham8011018"," Vitalii Orlov787008"," Johan Meyer 809218"," Alexandre Roumat 5914108"," Olly Robinson 8015218"," Conor Gilsenan 7511508"," Ben Mowen803218"," François Cros 8014008"," Maxim Gargalic7013118"," Liam Gill 808038"," James Connolly 784008"," Marco Kotze463108"," Valentin Ursache 619208"," Viktor Arhip 806318"
"9"," Oleg Prepelitse 373219"," Jonathan Ross 406119"," Petrus Hauman807009"," Ben Morgan 403119"," Gerrit-Jan van Velze 805119"," Bakary Meite 8013319"," Ryan Burrows8010009"," Maxim Gargalic7010209"," Giovanni Licata 807419"," Leroy Houston 8018019"," Josh Turnbull 8010429"," Lasha Lomidze 5411309"," Paddy Butler8011109"," Gillian Galan 515009"," Anton Rudoy808009"," Taiasina Tuifua 674009"," Eoghan Masterson 8012219"," Antoine Miquel8013009"," Maurie Fa'asavalu 719109"," Alexander Ilin 5810309"
"10"," Vasilii Dorofeev 5954010"," Francois de Klerk 8062010"," Florian Cazenave80132310"," Ben Vellacott 8031010"," Jonny Arr 8052010"," Charl McLeod 5160010"," Sam Stuart8010010"," Alexey Shcherban7513010"," Marcello Violi 8040010"," Yann Lesgourgues 7430010"," Tomos Williams 75101010"," Ben Meehan 5471010"," Thibault Daubagna8080010"," Antoine Dupont 8031110"," Alexey Shcherban8041010"," Jonathan Pelissie 7020010"," Caolin Blade 5450010"," Hugo Verdu6682210"," Julien Audy 8013010"," Vasilii Dorofeev 4723010"
"11"," Fangatapu Apikotoa 4010011"," James O'Connor 8052011"," Thomas Laranjeira8050011"," Billy Burns 5950011"," Jamie Shillcock 8012011"," Jules Plisson 5130011"," Joel Hodgson8060011"," Yury Kushnarev8022011"," Carlo Canna 8084011"," Simon Hickey 74114011"," Jarrod Evans 7142011"," Theo Brophy Clews 78132011"," Colin Slade5490011"," Jean-Marc Doussain 720011"," Yury Kushnarev8054011"," Lionel Beauxis 6530011"," Jack Carty 80116111"," Mathieu Lamoulie8062011"," Christopher Ruiz 2121011"," Fangatapu Apikotoa 6664011"
